Vetted_address,PWSID,geometry,GEOID,NAME,Race.estimate.total,B03002_001M,Race.white.alone,B03002_003M,Race.black.alone,B03002_004M,Race.native.alone,B03002_005M,Race.asian.alone,B03002_006M,Race.PI.alone,B03002_007M,Race.hispanicorlatino,B03002_012M,Median.hh.income,B19013_001M,Tenure.estimate.total,B25003_001M,Tenure.owner,B25003_002M,Tenure.renter,B25003_003M,Households.total,B11001_001M
19021 Circle View Dr. Pinoeer CA 95666,CA0310015,"c(-120.5243563, 38.4664148)",060050001021,"Block Group 1, Census Tract 1.02, Amador County, California",861,299,765,237,0,13,4,8,8,16,0,13,81,90,49063,23291,327,79,247,64,80,50,327,79
5545 THREE OAKS DRIVE IONE CA 95640,CA0310020,"c(-120.9189396, 38.2956688)",060050003041,"Block Group 1, Census Tract 3.04, Amador County, California",1632,330,1436,318,7,14,9,33,23,38,0,13,127,106,68500,25119,590,111,366,94,224,89,590,111
9420 Putney Dr. Durham CCA 95938,CA0400066,"c(-121.8024984, 39.6469927)",060070015001,"Block Group 1, Census Tract 15, Butte County, California",1322,722,1228,716,0,13,0,13,58,79,0,13,36,34,103462,38337,396,123,306,115,90,85,396,123
4541 Wilder Drive CHICO CA 95928,CA0400091,"c(-121.6916884, 39.778231)",060070016022,"Block Group 2, Census Tract 16.02, Butte County, California",517,213,476,206,0,13,0,13,29,30,0,13,0,13,92682,23649,266,105,239,105,27,40,266,105
316 Walnut Tree Dr. Colusa CA 95932,CA0600011,"c(-122.0149495, 39.1905156)",060110002003,"Block Group 3, Census Tract 2, Colusa County, California",1251,362,286,100,0,13,0,13,0,13,0,13,923,358,63841,7947,408,108,316,94,92,78,408,108
6061 Lone Tree Way Brentwood CA 94513,CA0706108,"c(-121.7401173, 37.9601728)",060133032092,"Block Group 2, Census Tract 3032.09, Contra Costa County, California",2623,864,617,292,37,71,19,29,860,543,0,13,1033,824,106652,41718,660,263,527,264,133,76,660,263
50 Birch St. Brentwood 94513,CA0707557,"c(-121.6900834, 37.931503)",060133031072,"Block Group 2, Census Tract 3031.07, Contra Costa County, California",1913,505,829,371,216,194,140,107,0,13,117,149,536,353,87546,43879,567,145,295,126,272,130,567,145
83 Solano Ave. Pittsburg CA 94565,CA0707558,"c(-121.9400552, 38.0288432)",060133141033,"Block Group 3, Census Tract 3141.03, Contra Costa County, California",1508,495,117,125,102,119,0,13,247,149,0,13,1033,460,69318,18329,400,108,161,73,239,90,400,108
3049 W Willow Rd. Bethel Island CA 94511,CA0707602,"c(-121.6388494, 38.0460163)",060133010002,"Block Group 2, Census Tract 3010, Contra Costa County, California",991,335,679,272,20,33,0,13,33,51,0,13,236,230,35721,18375,439,134,369,125,70,65,439,134
"4100 CA-169, Klamath CA 95548",CA0800613,"c(-123.990691, 41.5191284)",060150002031,"Block Group 1, Census Tract 2.03, Del Norte County, California",1123,154,543,107,17,12,329,106,1,3,0,13,185,79,38092,7703,439,80,334,80,105,28,439,80
3800 NORTH SHINGLE RD SHINGLE SPRINGS CA 95682,CA0900108,"c(-120.9328381, 38.6659207)",060170308122,"Block Group 2, Census Tract 308.12, El Dorado County, California",2406,883,2182,870,0,13,0,13,0,13,0,13,224,157,125486,58923,757,175,723,174,34,40,757,175
6280 CA-49 Lotus CA 95651,CA0900211,"c(-120.942073, 38.8263433)",060170306063,"Block Group 3, Census Tract 306.06, El Dorado County, California",1293,512,1076,462,0,13,0,13,0,13,0,13,217,244,65833,49707,362,112,329,124,33,43,362,112
2659 Lake Tahoe Blvd. South Lake Tahoe CA 96150,CA0900539,"c(-119.982951, 38.9281623)",060170303021,"Block Group 1, Census Tract 303.02, El Dorado County, California",537,185,395,202,8,9,0,13,63,90,0,13,71,83,44750,22789,218,84,94,46,124,76,218,84
947 Park Ave. South Lake Tahoe CA 96150,CA0900548,"c(-119.9462955, 38.9565948)",060170316013,"Block Group 3, Census Tract 316.01, El Dorado County, California",368,234,219,104,0,13,0,13,0,13,0,13,149,212,32885,17167,192,87,44,39,148,77,192,87
2187 LAKE TAHOE BLVD SOUTH LAKE TAHOE CA 96150,CA0900555,"c(-119.9985091, 38.9176891)",060170304043,"Block Group 3, Census Tract 304.04, El Dorado County, California",646,212,381,154,21,30,0,13,24,48,0,13,178,147,33704,18354,322,105,207,107,115,64,322,105
3876 Lake Tahoe Blvd. South Lake Tahoe CA 96150,CA0900579,"c(-119.9490061, 38.9520364)",060170316012,"Block Group 2, Census Tract 316.01, El Dorado County, California",521,250,102,71,0,13,0,13,118,117,0,13,275,235,NA,NA,254,100,8,14,246,100,254,100
3901 PIONEER TRAIL SOUTH LAKE TAHOE CA 96150,CA0900581,"c(-119.9481026, 38.9524397)",060170316012,"Block Group 2, Census Tract 316.01, El Dorado County, California",521,250,102,71,0,13,0,13,118,117,0,13,275,235,NA,NA,254,100,8,14,246,100,254,100
3520 LAKE TAHOE BLVD SOUTH LAKE TAHOE CA 96150,CA0900586,"c(-119.9629645, 38.9460944)",060170302013,"Block Group 3, Census Tract 302.01, El Dorado County, California",917,407,301,177,0,13,0,13,48,57,0,13,528,364,56222,7833,250,115,144,98,106,67,250,115
2333 Eloise Ave. South Lake Tahoe CA 96150,CA0900636,"c(-119.9947609, 38.9217982)",060170304031,"Block Group 1, Census Tract 304.03, El Dorado County, California",491,184,439,171,0,13,0,13,52,68,0,13,0,13,58269,43595,266,120,229,117,37,33,266,120
1021 AL TAHOE BLVD SO LAKE TAHOE CA 96150,CA0900646,"c(-119.9770796, 38.9346553)",060170302011,"Block Group 1, Census Tract 302.01, El Dorado County, California",774,242,448,153,0,13,18,30,0,13,0,13,277,216,63315,28848,341,112,110,44,231,112,341,112
783 Emerald Bay Rd. South Lake Tahoe CA 96150,CA0900655,"c(-120.0115663, 38.91842)",060170304041,"Block Group 1, Census Tract 304.04, El Dorado County, California",887,484,749,403,0,13,0,13,36,45,0,13,67,76,66540,17497,259,103,101,48,158,99,259,103
1096 Herbert Ave. South Lake Tahoe 96150,CA0900666,"c(-119.9609996, 38.9438018)",060170302013,"Block Group 3, Census Tract 302.01, El Dorado County, California",917,407,301,177,0,13,0,13,48,57,0,13,528,364,56222,7833,250,115,144,98,106,67,250,115
3870 PIONEER TRAIL SOUTH LAKE TAHOE CA 96150,CA0900673,"c(-119.9474475, 38.9509685)",060170316021,"Block Group 1, Census Tract 316.02, El Dorado County, California",1197,423,467,243,3,4,0,13,557,317,0,13,114,100,45769,14876,420,112,131,70,289,98,420,112
3101 Center Street PLACERVILLE CA 95667,CA0910010,"c(-120.8026803, 38.7286898)",060170312003,"Block Group 3, Census Tract 312, El Dorado County, California",1750,552,1226,439,25,25,0,13,26,27,0,13,421,298,62338,42856,427,115,282,136,145,80,427,115
3095 N GREENWOOD AVE SANGER CA 93657,CA1000112,"c(-119.5666582, 36.7803705)",060190059162,"Block Group 2, Census Tract 59.16, Fresno County, California",1428,471,736,294,0,13,21,36,218,345,0,13,453,346,127755,50041,479,118,451,124,28,33,479,118
10950 W MCKINLEY FRESNO CA 93722,CA1000207,"c(-119.9878512, 36.764918)",060190041001,"Block Group 1, Census Tract 41, Fresno County, California",1880,557,813,226,30,36,0,13,139,121,0,13,817,534,54022,24001,578,121,360,79,218,111,578,121
11470 W CHURCH AVE FRESNO CA 93706,CA1000248,"c(-119.9963302, 36.7136471)",060190039005,"Block Group 5, Census Tract 39, Fresno County, California",1015,506,312,124,26,41,0,13,0,13,0,13,628,501,61827,9535,297,97,220,81,77,56,297,97
3530 S CHERRY FRESNO CA 93706,CA1000276,"c(-119.7808967, 36.6826057)",060190018001,"Block Group 1, Census Tract 18, Fresno County, California",1305,340,240,132,10,13,0,13,79,84,0,13,937,304,66023,38865,354,103,154,53,200,104,354,103
130 E LINCOLN FRESNO CA 93706,CA1000285,"c(-119.7889701, 36.6491882)",060190018004,"Block Group 4, Census Tract 18, Fresno County, California",1299,301,447,195,0,13,0,13,6,9,0,13,835,246,76422,17382,353,79,230,66,123,64,353,79
2140 E. Clubhouse Drive FRESNO CA 93730,CA1000496,"c(-119.743916, 36.9062387)",060190055032,"Block Group 2, Census Tract 55.03, Fresno County, California",2241,731,844,381,20,34,0,13,1212,589,0,13,139,110,157800,68528,850,219,746,209,104,94,850,219
2797 S ORANGE FRESNO CA 93725,CA1000512,"c(-119.7612427, 36.6981991)",060190015001,"Block Group 1, Census Tract 15, Fresno County, California",703,323,117,75,3,4,0,13,169,218,0,13,414,182,45208,8179,169,71,119,56,50,44,169,71
7064 E. Belmont FRESNO CA 93727,CA1000624,"c(-119.6627278, 36.7507075)",060190059043,"Block Group 3, Census Tract 59.04, Fresno County, California",2602,627,1129,282,16,27,0,13,481,328,0,13,749,409,97917,31181,831,209,761,218,70,49,831,209
6639 Parkway Drive FRESNO CA 93722,CA1000646,"c(-119.8930904, 36.8353312)",060190042152,"Block Group 2, Census Tract 42.15, Fresno County, California",2582,640,892,369,38,31,0,13,556,227,0,13,751,437,91372,13837,707,160,548,153,159,91,707,160
