Regulating_agency,County,SystemID,System_Name,System_Type,Institution_type,Connections,Population,Inactivation_Date,Activity_date_from_tool,Date_combined,Receiving_Water_System,Receiving_System_ID,Receiving_System_Institution_Type,Issue_SWRCB,Issue_summary,Issue_capacity,Issue_quality,Issue_TMF,Issue_disaster,Issue_sustainability,Funding_Source,Consolidation_Type,Physical_or_Mangerial,Mandatory_or_voluntary,Story_link,long,lat,Data_source,Notes,Notes_Suzanne,Remove?,2016_proxydata_pop_con_type_county,Number_systems_involved,Unique_project,Consolidatedsystem_primary_source_combined,EPA_2021_source,Consolidatedsystem_primary_source_combinedFINAL,Receiving_2021_source,Receiving_2021_pop,Receiving_2021_systemtype,Distance(m),Prox_ord,CES_Receiving_Polygon,DistNote,govcat_cons,govcat_rec,Vetted_address,GEOID,NAME,Race.estimate.total.x,B03002_001M,Race.white.alone.x,B03002_003M,Race.black.alone.x,B03002_004M,Race.native.alone.x,B03002_005M,Race.asian.alone.x,B03002_006M,Race.PI.alone.x,B03002_007M,Race.hispanicorlatino.x,B03002_012M,Median.hh.income,B19013_001M,Tenure.estimate.total.x,B25003_001M,Tenure.owner.x,B25003_002M,Tenure.renter.x,B25003_003M,Households.total.x,AC_PHONE_N,AC_EMAIL,Households.total.y,Income.aggregatecount,Race.asian.alone.y,Race.black.alone.y,Race.estimate.total.y,Race.hispanicorlatino.y,Race.native.alone.y,Race.PI.alone.y,Race.white.alone.y,Tenure.estimate.total.y,Tenure.owner.y,Tenure.renter.y
DISTRICT 24 - TULARE,Tulare,NA,East Porterville,NA,Domestic wells,755,250,NA,NA,17-Mar,"PORTERVILLE, CITY OF",CA5410010,City,NA,Disaster,0,0,0,1,0,"SWRCB, DWR, OES",Voluntary Consolidation,Physical,Voluntary,https://www.waterboards.ca.gov/drinking_water/certlic/drinkingwater/documents/partnership_success/east_porterville.pdf,NA,NA,OTHER,NA,NA,No,No,1P,Yes,NA,NA,GW,GW,65702,Community water system,NA,NA,NA,NA,Domestic wells,General purpose government,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,559-782-7580,mknight@ci.porterville.ca.us,13061.628220519564,NA,1795.158961614344,136.86204588046624,43333.49557957765,30481.715778930004,440.6099898221274,163.12396261580685,9360.234706716315,13061.628220519564,6368.793298806307,6692.834921713255
DISTRICT 24 - TULARE,TULARE,CA5400651,BEVERLY GRAND MUTUAL WATER,C,MWC,28,92,12/10/20,NA,20-Dec,"PORTERVILLE, CITY OF",CA5410010,City,Nitrate,Quality,0,1,0,0,0,SWRCB,Voluntary Consolidation,Physical,Voluntary,HTTPS://WWW.WATERBOARDS.CA.GOV/DRINKING_WATER/CERTLIC/DRINKINGWATER/DOCS/BEVERLYGRAND_STORY.PDF,-119.0491854,36.1008075,Both,NA,NA,No,No,2,Yes,GW,NA,GW,GW,65702,Community water system,267.3464052,2,NA,NA,Nonprofit private,General purpose government,1935 N. BEVERLY STREET PORTERVILLE CA 93257,061070035041,"Block Group 1, Census Tract 35.04, Tulare County, California",1541,1028,325,356,0,13,0,13,0,13,0,13,1040,959,74919,71568,312,154,312,154,0,13,312,559-782-7580,mknight@ci.porterville.ca.us,13061.628220519564,NA,1795.158961614344,136.86204588046624,43333.49557957765,30481.715778930004,440.6099898221274,163.12396261580685,9360.234706716315,13061.628220519564,6368.793298806307,6692.834921713255
LPA64 - SACRAMENTO COUNTY,SACRAMENTO,CA3400332,OXBOW MARINA (SWS),C,MWC,95,200,7/18/17,NA,17-Jul,Cal-Am Isleton,CA3410012,IOU,Arsenic,Quality,0,1,0,0,0,SWRCB,Voluntary Consolidation,Physical,Voluntary,HTTPS://WWW.WATERBOARDS.CA.GOV/DRINKING_WATER/CERTLIC/DRINKINGWATER/DOCUMENTS/PARTNERSHIP_SUCCESS/OXBOW_MARINA_MWC.PDF,-121.589959,38.150018,Both,NA,NA,No,No,2,Yes,GW,NA,GW,GW,1581,Community water system,1315.290929,1,NA,NA,Nonprofit private,IOU,100 Oxbow Marina Dr. Isleton CA 95641,060670098001,"Block Group 1, Census Tract 98, Sacramento County, California",850,142,584,118,8,13,6,10,23,22,0,13,209,84,45054,12962,413,59,313,58,100,38,413,916-568-4278,audie.foster@amwater.com,17.525252446879467,806550.7970564533,1.2360462661125995,0.32316380768774183,36.63828195940013,9.687995770112785,0.24237285576580636,0,24.340793740501844,17.525252446879467,13.183139536329643,4.342112910549824
LPA39- El Dorado County,EL DORADO,CA0900655,ROCKWATER APTS.,C,Private (other),24,50,6/28/17,NA,17-Jun,Lukins Brothers Water Company,CA0910007,IOU,PCE,Quality,0,1,0,0,0,SWRCB,Voluntary Consolidation,Physical,Voluntary,NA,-120.011217,38.91837,Both,NA,NA,No,No,2,Yes,GW,NA,GW,GW,3200,Community water system,22.74725413,2,1,NA,Private ancillary,IOU,783 Emerald Bay Rd. South Lake Tahoe CA 96150,060170304041,"Block Group 1, Census Tract 304.04, El Dorado County, California",887,484,749,403,0,13,0,13,36,45,0,13,67,76,66540,17497,259,103,101,48,158,99,259,530-541-2606,Jennifer@lukinswater.com,610.7663113122627,NA,50.17259541872852,14.66999089590993,1623.5195824779676,217.99204075353094,0,0,1265.6689484160324,610.7663113122627,341.3320102619364,269.43430105032644
DISTRICT 18 - SONOMA,SONOMA,CA4900786,RANCHO SANTA ROSA MHP,C,MHP,80,175,NA,16-Aug,16-Aug," SANTA ROSA, CITY OF",CA4910009,City,Arsenic,Quality,0,1,0,0,0,SWRCB,Regionalization,Physical,Voluntary,https://www.waterboards.ca.gov/drinking_water/certlic/drinkingwater/documents/partnership_success/city_of_santa_rosa.pdf,-122.7148542,38.3933998,Tool,NA,NA,No,No,2,Yes,GW,NA,GW,GW,173648,Community water system,25.04393579,2,1,NA,Private ancillary,General purpose government,3455 Santa Rosa Avenue SANTA ROSA CA 95407,060971514053,"Block Group 3, Census Tract 1514.05, Sonoma County, California",955,431,503,278,36,54,0,13,0,13,0,13,396,347,67642,33572,283,102,143,73,140,90,283,707-543-3975,tllamas@srcity.org,65835.4428907483,NA,10101.579408945701,4119.218339462102,179814.19055896936,62483.926261565706,960.0449944762591,1006.4803923360058,94389.15562652619,65835.4428907483,35557.31616179486,30278.126728953463
LPA39- El Dorado County,EL DORADO,CA0900539,SUNRAY TAHOE HOTEL,NC,Private (other),3,120,7/20/17,NA,17-Jul,South Tahoe PUD,CA0910002,PUD,None,None,0,0,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-119.983058,38.928266,Both,NA,NA,No,No,2,Yes,GW,NA,GW,GW,121124,Community water system,NA,NA,NA,NA,Private ancillary,Special district,2659 Lake Tahoe Blvd. South Lake Tahoe CA 96150,060170303021,"Block Group 1, Census Tract 303.02, El Dorado County, California",537,185,395,202,8,9,0,13,63,90,0,13,71,83,44750,22789,218,84,94,46,124,76,218,530-543-6521,cstanley@stpud.dst.ca.us,11339.172475123307,NA,1421.6306637225202,170.1594777666361,27178.87244585654,6802.666222456458,32.8279924727422,20.99999999998982,17773.535125091297,11339.172475123307,5913.662560727662,5425.509914395646
District 10 - Stockton,AMADOR,CA0310015,RABB PARK COMMUNITY SER. DIST.,C,CSD,108,268,1/11/17,NA,17-Jan,Amador Water Agency,CA0300073,Special Act District,None,None,0,0,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-120.527533,38.452386,Both,NA,NA,No,No,2,Yes,SWP,NA,SWP,SW,35,Non-Transient non-community system,NA,NA,NA,NA,Special district,Special district,19021 Circle View Dr. Pinoeer CA 95666,060050001021,"Block Group 1, Census Tract 1.02, Amador County, California",861,299,765,237,0,13,4,8,8,16,0,13,81,90,49063,23291,327,79,247,64,80,50,327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DISTRICT 02 - LASSEN,PLUMAS,CA3210008,EAST QUINCY SERVICES DISTRICT,C,CSD,771,2572,4/19/19,NA,19-Apr,American valley CSD (formally Quincy CSD),CA3210004,CSD,None,None,0,0,0,0,0,private,Voluntary Consolidation,Physical,Voluntary,NA,-120.9105247,39.9381728,Both,Two CSDs (quincy and easy quincy) dissolved themseves and become one new CSD. Not physical integration I don't think but neither subsummed the other and got new system IDs so I think it qualifies as voluntary consolidation. See: https://www.americanvalleycsd.com/documents/636/Final_Consolidation_Resolution.pdf,NA,No,No,2,Yes,GW,NA,GW,GW,4300,Community water system,1227.811095,2,NA,3,Special district,Special district,179 Rogers Avenue QUINCY CA 95971,060630001003,"Block Group 3, Census Tract 1, Plumas County, California",502,210,387,183,94,101,0,13,0,13,0,13,21,26,NA,NA,186,83,57,42,129,82,186,530-283-0836,katie@americanvalleycsd.com,108.09386296387927,NA,0.08805614441846653,14.241962202598986,289.4709557344042,37.271537802746394,8.012043389257089,0,218.55003673773376,108.09386296387927,53.43731899378245,54.65654397009685
NA,SANTA BARBARA,CA4210700,VANDENBERG AIR FORCE BASE,C,Federal,1161,6763,NA,NA,15-Sep,"AMERICAN WATER O&M, LLC - VAFB",CA4210700,IOU,NA,NA,NA,NA,NA,NA,NA,NA,Managerial,Managerial,Voluntary,NA,NA,NA,Inst. diversity paper,Sept 2015 awarded american water 50 year contract,"confirm ""managerial consolidation"" definition",No,Yes,NA,Yes,NA,SWP,SWP,SWP,14971,Community water system,NA,NA,NA,NA,Public ancillary,IOU,1172 ICELAND AVENUEVANDENBERG AFB CA 93437,060839802001,"Block Group 1, Census Tract 9802, Santa Barbara County, California",3646,541,1919,372,395,186,8,12,170,74,14,17,589,154,67917,11267,1106,176,0,13,1106,176,1106,805-734-0043,luke.deras01@amwater.com,1105.5483880719275,NA,173.76861439501093,395.39339595500707,3714.0828533670697,639.97322328379,10.921885029396202,14.55560092989607,1938.0693017310882,1105.5483880719275,14.579923645063545,1090.9684644268636
DISTRICT 13 - SAN BERNARDINO,SAN BERNARDINO,CA3610118,YERMO WATER COMPANY,C,IOU,316,1033,NA,15-Aug,15-Aug,APPLE VALLEY RANCHOS WC-YERMO,CA3610118,IOU,None,None,0,0,0,0,0,None,Managerial,Managerial,Voluntary,NA,-116.8486176,34.90885925,Tool,NA,NA,No,No,NA,Yes,NA,GW,GW,GW,1033,Community water system,714.7015311,1,1,NA,IOU,IOU,38280 Gleason St Yermo CA 92398,060710116021,"Block Group 1, Census Tract 116.02, San Bernardino County, California",1793,695,1200,580,0,13,0,13,136,217,0,13,376,281,57013,31564,843,369,441,221,402,290,843,760-240-8325,carol.thomas-keefer@libertyutilities.com,3.3252619052298664,189583.15700287037,0.5364598091474043,0,7.0725914544212944,1.4831535899957649,0,0,4.7334689042418034,3.3252619052298664,1.7395498223088626,1.585712082921004
