Regulating_agency,County,SystemID,System_Name,System_Type,Institution_type,Connections,Population,Inactivation_Date,Activity_date_from_tool,Date_combined,Receiving_Water_System,Receiving_System_ID,Receiving_System_Institution_Type,Issue_SWRCB,Issue_summary,Issue_capacity,Issue_quality,Issue_TMF,Issue_disaster,Issue_sustainability,Funding_Source,Consolidation_Type,Physical_or_Mangerial,Mandatory_or_voluntary,Story_link,long,lat,Data_source,Notes,Notes_Suzanne,Remove?,2016_proxydata_pop_con_type_county,Number_systems_involved,Unique_project,Consolidatedsystem_primary_source_combined,EPA_2021_source,Consolidatedsystem_primary_source_combinedFINAL,Receiving_2021_source,Receiving_2021_pop,Receiving_2021_systemtype,Distance(m),Prox_ord,CES_Receiving_Polygon,DistNote,govcat_cons,govcat_rec,Percent.renter.consolidated,Percent.owner.consolidated,Percent.white.consolidated,Percent.black.consolidated,Percent.asian.consolidated,Percent.native.consolidated,Percent.PI.consolidated,Percent.hispanicorlatino.consolidated,MHI.consolidated,Percent.renter.receiving,Percent.owner.receiving,Percent.white.receiving,Percent.black.receiving,Percent.asian.receiving,Percent.native.receiving,Percent.PI.receiving,Percent.hispanicorlatino.receiving,MHI.receiving
DISTRICT 24 - TULARE,Tulare,NA,East Porterville,NA,Domestic wells,755,250,NA,NA,17-Mar,"PORTERVILLE, CITY OF",CA5410010,City,NA,Disaster,0,0,0,1,0,"SWRCB, DWR, OES",Voluntary Consolidation,Physical,Voluntary,https://www.waterboards.ca.gov/drinking_water/certlic/drinkingwater/documents/partnership_success/east_porterville.pdf,NA,NA,OTHER,NA,NA,No,No,1P,Yes,NA,NA,GW,GW,65702,Community water system,NA,NA,NA,NA,Domestic wells,General purpose government,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.24043349510548,48.759566504894515,21.600460755646118,0.315834307964223,4.142659016090021,1.016788477202332,0.37643850428878034,70.34215765712547,NA
DISTRICT 24 - TULARE,TULARE,CA5400651,BEVERLY GRAND MUTUAL WATER,C,MWC,28,92,12/10/20,NA,20-Dec,"PORTERVILLE, CITY OF",CA5410010,City,Nitrate,Quality,0,1,0,0,0,SWRCB,Voluntary Consolidation,Physical,Voluntary,HTTPS://WWW.WATERBOARDS.CA.GOV/DRINKING_WATER/CERTLIC/DRINKINGWATER/DOCS/BEVERLYGRAND_STORY.PDF,-119.0491854,36.1008075,Both,NA,NA,No,No,2,Yes,GW,NA,GW,GW,65702,Community water system,267.3464052,2,NA,NA,Nonprofit private,General purpose government,0,100,21.09020116807268,0,0,0,0,67.48864373783258,74919,51.24043349510548,48.759566504894515,21.600460755646118,0.315834307964223,4.142659016090021,1.016788477202332,0.37643850428878034,70.34215765712547,NA
LPA64 - SACRAMENTO COUNTY,SACRAMENTO,CA3400332,OXBOW MARINA (SWS),C,MWC,95,200,7/18/17,NA,17-Jul,Cal-Am Isleton,CA3410012,IOU,Arsenic,Quality,0,1,0,0,0,SWRCB,Voluntary Consolidation,Physical,Voluntary,HTTPS://WWW.WATERBOARDS.CA.GOV/DRINKING_WATER/CERTLIC/DRINKINGWATER/DOCUMENTS/PARTNERSHIP_SUCCESS/OXBOW_MARINA_MWC.PDF,-121.589959,38.150018,Both,NA,NA,No,No,2,Yes,GW,NA,GW,GW,1581,Community water system,1315.290929,1,NA,NA,Nonprofit private,IOU,24.213075060532688,75.78692493946731,68.70588235294117,0.9411764705882352,2.705882352941176,0.7058823529411765,0,24.58823529411765,45054,24.776321617683617,75.22367838231638,66.43541246686875,0.8820386502998376,3.373646907031,0.6615289877248782,0,26.442276362325927,46022.20706955164
LPA39- El Dorado County,EL DORADO,CA0900655,ROCKWATER APTS.,C,Private (other),24,50,6/28/17,NA,17-Jun,Lukins Brothers Water Company,CA0910007,IOU,PCE,Quality,0,1,0,0,0,SWRCB,Voluntary Consolidation,Physical,Voluntary,NA,-120.011217,38.91837,Both,NA,NA,No,No,2,Yes,GW,NA,GW,GW,3200,Community water system,22.74725413,2,1,NA,Private ancillary,IOU,61.003861003861005,38.996138996138995,84.44193912063133,0,4.058624577226606,0,0,7.5535512965050735,66540,44.11413924769902,55.885860752301,77.95834199204731,0.9035918663524353,3.090359732042801,0,0,13.427127279906973,NA
DISTRICT 18 - SONOMA,SONOMA,CA4900786,RANCHO SANTA ROSA MHP,C,MHP,80,175,NA,16-Aug,16-Aug," SANTA ROSA, CITY OF",CA4910009,City,Arsenic,Quality,0,1,0,0,0,SWRCB,Regionalization,Physical,Voluntary,https://www.waterboards.ca.gov/drinking_water/certlic/drinkingwater/documents/partnership_success/city_of_santa_rosa.pdf,-122.7148542,38.3933998,Tool,NA,NA,No,No,2,Yes,GW,NA,GW,GW,173648,Community water system,25.04393579,2,1,NA,Private ancillary,General purpose government,49.46996466431096,50.53003533568905,52.67015706806283,3.769633507853403,0,0,0,41.46596858638743,67642,45.99061751464025,54.009382485359794,52.49260658077575,2.2908193878676224,5.617787660442143,0.5339094714893573,0.5597335723099865,34.74916304843824,NA
LPA39- El Dorado County,EL DORADO,CA0900539,SUNRAY TAHOE HOTEL,NC,Private (other),3,120,7/20/17,NA,17-Jul,South Tahoe PUD,CA0910002,PUD,None,None,0,0,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-119.983058,38.928266,Both,NA,NA,No,No,2,Yes,GW,NA,GW,GW,121124,Community water system,NA,NA,NA,NA,Private ancillary,Special district,56.88073394495413,43.11926605504588,73.55679702048417,1.48975791433892,11.731843575418994,0,0,13.221601489757914,44750,47.84749439430893,52.15250560569107,65.39467433940918,0.626072616167626,5.230646218140849,0.12078496831735518,0.07726589850930811,25.029243711298754,NA
District 10 - Stockton,AMADOR,CA0310015,RABB PARK COMMUNITY SER. DIST.,C,CSD,108,268,1/11/17,NA,17-Jan,Amador Water Agency,CA0300073,Special Act District,None,None,0,0,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-120.527533,38.452386,Both,NA,NA,No,No,2,Yes,SWP,NA,SWP,SW,35,Non-Transient non-community system,NA,NA,NA,NA,Special district,Special district,24.464831804281346,75.53516819571865,88.85017421602788,0,0.9291521486643438,0.4645760743321719,0,9.40766550522648,49063,NA,NA,NA,NA,NA,NA,NA,NA,NA
DISTRICT 02 - LASSEN,PLUMAS,CA3210008,EAST QUINCY SERVICES DISTRICT,C,CSD,771,2572,4/19/19,NA,19-Apr,American valley CSD (formally Quincy CSD),CA3210004,CSD,None,None,0,0,0,0,0,private,Voluntary Consolidation,Physical,Voluntary,NA,-120.9105247,39.9381728,Both,Two CSDs (quincy and easy quincy) dissolved themseves and become one new CSD. Not physical integration I don't think but neither subsummed the other and got new system IDs so I think it qualifies as voluntary consolidation. See: https://www.americanvalleycsd.com/documents/636/Final_Consolidation_Resolution.pdf,NA,No,No,2,Yes,GW,NA,GW,GW,4300,Community water system,1227.811095,2,NA,3,Special district,Special district,69.35483870967742,30.64516129032258,77.09163346613546,18.725099601593627,0,0,0,4.183266932270916,NA,50.563965863964846,49.436034136035175,75.4998152347478,4.919996953223277,0.030419682069678843,2.7678228957133477,0,12.87574351222436,NA
NA,SANTA BARBARA,CA4210700,VANDENBERG AIR FORCE BASE,C,Federal,1161,6763,NA,NA,15-Sep,"AMERICAN WATER O&M, LLC - VAFB",CA4210700,IOU,NA,NA,NA,NA,NA,NA,NA,NA,Managerial,Managerial,Voluntary,NA,NA,NA,Inst. diversity paper,Sept 2015 awarded american water 50 year contract,"confirm ""managerial consolidation"" definition",No,Yes,NA,Yes,NA,SWP,SWP,SWP,14971,Community water system,NA,NA,NA,NA,Public ancillary,IOU,100,0,52.633022490400435,10.833790455293473,4.6626439934174435,0.21941854086670326,0.38398244651673064,16.154690071311027,67917,98.68120438667626,1.318795613323708,52.18163886608227,10.645788248815073,4.678641302723708,0.2940668116623938,0.3919029678269138,17.230989413809404,NA
DISTRICT 13 - SAN BERNARDINO,SAN BERNARDINO,CA3610118,YERMO WATER COMPANY,C,IOU,316,1033,NA,15-Aug,15-Aug,APPLE VALLEY RANCHOS WC-YERMO,CA3610118,IOU,None,None,0,0,0,0,0,None,Managerial,Managerial,Voluntary,NA,-116.8486176,34.90885925,Tool,NA,NA,No,No,NA,Yes,NA,GW,GW,GW,1033,Community water system,714.7015311,1,1,NA,IOU,IOU,47.686832740213525,52.313167259786475,66.92693809258226,0,7.585052983825991,0,0,20.970440602342443,57013,47.68683274021353,52.313167259786475,66.92693809258226,0,7.585052983825989,0,0,20.970440602342443,57013
