PWSID,NAME,Location_address,Vetted_address,Notes
CA0310015,RABB PARK COMMUNITY SER. DIST.,P.O. BOX 337 PIONEER CA 95666,19021 Circle View Dr. Pinoeer CA 95666,This is the address of the board president. It lies within the district. This is the address Amador LAFCO uses for the utility.
CA0310020,THE OAKS MOBILE HOME PARK,5545 THREE OAKS DRIVE IONE CA 95640,5545 THREE OAKS DRIVE IONE CA 95640,This address lies within the community.
CA0400066,DURHAM UNIFIED SCHOOL DISTRICT, DURHAM CA 95938,9420 Putney Dr. Durham CCA 95938,
CA0400091,DEL ORO WATER COMPANY - BUZZTAIL DIST.,4541 Wilder Drive CHICO CA 95928,4541 Wilder Drive CHICO CA 95928,"This is a residential home, but it appears to be in the general vicinity of the district."
CA0600011,DEL ORO WATER CO.-WALNUT RANCH,Sandborn and 3rd Street COLUSA CA 95932,316 Walnut Tree Dr. Colusa CA 95932,This is an address within Walnut Ranch. 
CA0706108,LONE TREE MEDICAL & DENTAL, BRENTWOOD CA 94513,6061 Lone Tree Way Brentwood CA 94513,
CA0707557,NEIGHBORHOOD CHURCH, BRENTWOOD CA 94513,50 Birch St. Brentwood 94513,
CA0707558,HERTZ WATER SYSTEM, PITTSBURG CA 94565,83 Solano Ave. Pittsburg CA 94565,Address given by the LAFCO
CA0707602,BEACON WEST, BETHEL ISLAND CA 94511,3049 W Willow Rd. Bethel Island CA 94511,This is an address approximately in the middle of Beacon West according to a cross reference of LAFCO and googlemaps
CA0800613,CRIVELLI'S WATER SYSTEM,   ,"4100 CA-169, Klamath CA 95548","This is the address of the RV park's office (also a bar); I assume this is it. I found a map of dubious origin which places it slightly to the west of this site, but I think this is the best option (other address: 145 Alder Camp Rd., Klamath CA 95548)"
CA0900108,GOLD COUNTRY BAPTIST CHURCH,3800 NORTH SHINGLE RD SHINGLE SPRINGS CA 95682,3800 NORTH SHINGLE RD SHINGLE SPRINGS CA 95682,
CA0900211,MOTHER LODE RIVER CENTER, COLOMA CA 95613,6280 CA-49 Lotus CA 95651,
CA0900539,SUNRAY TAHOE HOTEL, SOUTH LAKE TAHOE CA 96150,2659 Lake Tahoe Blvd. South Lake Tahoe CA 96150,
