PWSID,NAME,System Status,Status Date,Status Reason Code,D_FED_PRIM_SRC_CD,D_ST_PRIM_SRC_CD,PWS_ST_TYPE_CD,OPER_CATEGORY_CD,PL_ADDRESS,PL_ADDR_LINE_ONE_TXT,ADDR_LINE_TWO_TXT,PL_ADDRESS_CITY_NAME,PL_ADDRESS_STATE_CODE,PL_ADDRESS_ZIP_CODE,COMMENT_TEXT
CA0310015,RABB PARK COMMUNITY SER. DIST.,I,1/11/17,CS,SWP,,C,SC,P.O. BOX 337,P.O. BOX 337,,PIONEER,CA,95666,
CA0310020,THE OAKS MOBILE HOME PARK,I,10/14/19,CS,SW,,C,SC,5545 THREE OAKS DRIVE,5545 THREE OAKS DRIVE,,IONE,CA,95640,
CA0400066,DURHAM UNIFIED SCHOOL DISTRICT,I,8/30/17,CS,GW,,NTNC,,,,,DURHAM,CA,95938,
CA0400091,DEL ORO WATER COMPANY - BUZZTAIL DIST.,A,8/4/15,,GW,,C,,CA0400091-DEL ORO CO. BUZZTAIL 4541 Wilder Drive,CA0400091-DEL ORO CO. BUZZTAIL,4541 Wilder Drive,CHICO,CA,95928,
CA0600011,DEL ORO WATER CO.-WALNUT RANCH,I,4/6/17,CS,,GWP,C,SC,Sandborn and 3rd Street,Sandborn and 3rd Street,,COLUSA,CA,95932,
CA0706108,LONE TREE MEDICAL & DENTAL,I,8/2/18,CS,GW,,NC,,,,,BRENTWOOD,CA,94513,
CA0707557,NEIGHBORHOOD CHURCH,I,4/22/19,CS,GW,,NTNC,,,,,BRENTWOOD,CA,94513,
CA0707558,HERTZ WATER SYSTEM,I,2/22/19,CS,GW,,C,,,,,PITTSBURG,CA,94565,
CA0707602,BEACON WEST,I,1/1/18,CS,GW,,C,,,,,BETHEL ISLAND,CA,94511,
CA0800613,CRIVELLI'S WATER SYSTEM,A,10/1/18,,GW,,NC,N1,,,,,,,
CA0900108,GOLD COUNTRY BAPTIST CHURCH,I,4/30/19,CS,GW,,NC,,3800 NORTH SHINGLE RD,3800 NORTH SHINGLE RD,,SHINGLE SPRINGS,CA,95682,
CA0900108,GOLD COUNTRY BAPTIST CHURCH,I,4/30/19,CS,GW,,NC,,3800 NORTH SHINGLE RD,3800 NORTH SHINGLE RD,,SHINGLE SPRINGS,CA,95682,
CA0900211,MOTHER LODE RIVER CENTER,I,12/17/18,CS,GW,,NC,,,,,COLOMA,CA,95613,
CA0900539,SUNRAY TAHOE HOTEL,I,7/20/17,CS,GW,,NC,,,,,SOUTH LAKE TAHOE,CA,96150,
CA0900548,MARK TWAIN MOTEL,I,8/9/17,CS,GW,,NC,,,,,SOUTH LAKE TAHOE,CA,96150,
CA0900555,MATTERHORN INN,I,11/27/17,CS,GW,,C,,2187 LAKE TAHOE BLVD,2187 LAKE TAHOE BLVD,,SOUTH LAKE TAHOE,CA,96150,
CA0900579,MIDWAY INN,I,10/30/20,CS,GW,,NC,,1027 MIDWAY RD,1027 MIDWAY RD,,SOUTH LAKE TAHOE,CA,96150,
CA0900581,NATIONAL 9,I,1/14/22,CS,GW,,NC,,3901 PIONEER TRAIL,3901 PIONEER TRAIL,,SOUTH LAKE TAHOE,CA,96150,
CA0900586,A & A LAKE TAHOE INN,I,10/16/18,CS,GW,,NC,,3520 LAKE TAHOE BLVD,3520 LAKE TAHOE BLVD,,SOUTH LAKE TAHOE,CA,96150,
CA0900636,TRUCKEE CREEK COTTAGES,I,8/9/17,CS,GW,,NC,,,,,SOUTH LAKE TAHOE,CA,96150,
CA0900646,AL TAHOE ELEM/STMS (WATER SYS),I,9/30/20,CS,GW,,NTNC,,1021 AL TAHOE BLVD,1021 AL TAHOE BLVD,,SO LAKE TAHOE,CA,96150,
CA0900655,ROCKWATER APTS.,I,6/28/17,CS,GW,,C,,,,,SOUTH LAKE TAHOE,CA,96150,
CA0900666,SIESTA ARMS APARTMENTS,I,10/23/18,CS,,,SSWS,,,,,,,,
CA0900673,DRIFTWOOD APTS.,I,11/6/18,CS,GW,GW,C,,,,,,,,
CA0900673,DRIFTWOOD APTS.,I,11/6/18,CS,GW,GW,C,,3870 PIONEER TRAIL,3870 PIONEER TRAIL,,SOUTH LAKE TAHOE,CA,96150,
CA0910010,"PLACERVILLE, CITY OF - SIERRA GOLF & CC",I,6/20/17,CS,SWP,,C,SC,3101 Center Street,3101 Center Street,,PLACERVILLE,CA,95667,
CA1000112,FAIRMONT SCHOOL,I,6/10/19,CS,,GW,NP,SP,3095 N GREENWOOD AVE,3095 N GREENWOOD AVE,,SANGER,CA,93657,
CA1000207,CENTRAL WEST ARTS CENTER,I,12/11/18,CS,GW,,NTNC,SP,10950 W MCKINLEY,10950 W MCKINLEY,,FRESNO,CA,93722,
CA1000248,DOUBLE L MOBILE RANCH PARK,I,4/16/20,CS,GW,GW,NP,DD,11470 W CHURCH AVE,11470 W CHURCH AVE,,FRESNO,CA,93706,
CA1000276,ORANGE CENTER SCHOOL,I,6/27/19,CS,GW,,NTNC,SP,3530 S CHERRY,3530 S CHERRY,,FRESNO,CA,93706,
CA1000285,WASHINGTON COLONY SCHOOL,I,6/28/19,CS,GW,,NTNC,SP,130 E LINCOLN,130 E LINCOLN,,FRESNO,CA,93706,
CA1000496,COPPER RIVER COUNTRY CLUB,I,8/30/21,CS,GW,,NTNC,SP,2140 E. Clubhouse Drive,2140 E. Clubhouse Drive,,FRESNO,CA,93730,
CA1000512,YERGAT PACKING COMPANY,I,6/30/16,CS,,GW,NTNC,DD,2797 S ORANGE,2797 S ORANGE,,FRESNO,CA,93725,
CA1000624,SUNNYSIDE MARKET,I,9/5/17,CS,,GW,NC,DD,7064 E. Belmont,7064 E. Belmont,,FRESNO,CA,93727,
CA1000646,E-Z TRIP,I,9/21/21,CS,,GW,NP,NC,6639 Parkway Drive,6639 Parkway Drive,,FRESNO,CA,93722,
CA1000646,E-Z TRIP,I,9/21/21,CS,,GW,NP,NC,2491 W. Shaw Ave. Suite #123,2491 W. Shaw Ave. Suite #123,,FRESNO,CA,93711,
CA1200698,MOBILE ESTATES  FN,I,6/26/17,CS,GW,,C,SC,27415 EASTVALE ROAD 7660 MYRTLE AVE,27415 EASTVALE ROAD,7660 MYRTLE AVE,EUREKA,CA,90274,
CA1300611,SHUEY SHELL CANYON WATER CO.,I,3/28/17,CS,,,NC,,,,,OCOTILLO,CA,92259,
CA1310011,COACHELLA VWD: I.D. NO. 11,I,2/25/21,CS,GW,,C,C1,75-515 Hovley Lane East,75-515 Hovley Lane East,,PALM DESERT,CA,92211,
CA1310017,CHP CALEXICO PORT OF ENTRY,I,12/8/17,CS,SW,,NTNC,SP,1700 E. Carr Road,1700 E. Carr Road,,CALEXICO,CA,92231,
CA1500508,TWIN PINES MOBILEHOME PARK,I,6/5/16,CS,GW,,C,SC,WEDDING LANE NEAR ROSEDALE HWY,WEDDING LANE NEAR ROSEDALE HWY,,BAKERSFIELD,CA,93312,
