County,SystemID,System_Name,System_Type,Institution_type,Connections,Population,Inactivation_Date,Activity_date_from_tool,Date_combined,Receiving_Water_System,Receiving_System_ID,Receiving_System_Institution_Type,Distance(m),Prox_ord,CES_Receiving_Polygon,DistNote
NAPA,CA2801045,ST. CLEMENT VINEYARDS INC.,NC,Private (other),1,100,9/16/19,NA,19-Sep,"St. Helena, City of",CA2810004,City,2770.124538,4,,3
SHASTA,CA4500001,"SHASTA CSA - KESWICK, #25",C,CSA,87,208,11/22/19,NA,19-Nov,Shasta CSD,CA4510013,CSD,3139.324021,3,,3
PLUMAS,CA3210008,EAST QUINCY SERVICES DISTRICT,C,CSD,771,2572,4/19/19,NA,19-Apr,American valley CSD (formally Quincy CSD),CA3210004,CSD,1227.811095,2,,3
STANISLAUS,CA5000085,GREEN RUN MOBILE ESTATES,C,MHP,46,100,5/29/19,NA,19-May,Keyes CSD,CA5010009,CSD,326.7081652,2,, 
FRESNO,CA1000285,WASHINGTON COLONY SCHOOL,NTNC,School,12,550,6/28/19,NA,19-Jun,Easton Authority JPA,CA1000221,JPA,231.371916,5,,Delt with name issue - they switched when they consolidated
MERCED,CA2400176,ST. PAUL LUTHERAN DAY CARE,NTNC,School,1,50,6/19/17,NA,17-Jun,City of Merced,CA2410009,City,52.11119133,1,,NB - This filters out when we eliminate jursidictions.
FRESNO,CA1000512,YERGAT PACKING COMPANY,NTNC,Private (other),2,150,NA,June.2019,22-Jun,CITY OF FRESNO,CA1010007,City,0,1,1,NB -- This disappears when we filter out jurisdictional boundaries. There is no match without jurisdictional boundaries
EL DORADO,CA0900581,NATIONAL 9,NC,Private (other),2,63,10/15/21,NA,21-Oct,SOUTH TAHOE PUD - MAIN,CA0910002,PUD,0,1,,"Not in top 25 of CES set (up to 13,000 meters)"
SONOMA,CA4900855,WEST FIELD COMMUNITY,C,MHP,29,75,NA,16-Aug,16-Aug,"SONOMA, CITY OF",CA4910012,City,NA,,,Not in top 50
SONOMA,CA4901195,MOORLAND AVENUE APARTMENTS,C,Private (other),4,64,NA,16-Aug,16-Aug,SONOMA COUNTY CSA 41-FITCH MOUNTAIN,CA4910010,CSA,NA,,,Not in top 50
MONTEREY,CA2702624,UNI-KOOL WS,NTNC,Private (other),6,180,7/12/17,NA,17-Jul,Cal-Water,CA2710010,IOU,NA,,,Not in top 50
MONTEREY,CA2710706,CAMP ROBERTS WELL 6A,NC,State,6,115,3/2/18,NA,18-Mar,Camp Roberts-National Guard,CA2710705,State,NA,,,Not in top 50
SAN BERNARDINO,CA3610060,SBDNO COUNTY SERVICE AREA W-1,C,CSA,647,1515,NA,NA,15-Jul,BDVWA - GOAT MOUNTAIN ID,CA3610060,Special Act District,NA,,,Not in top 50
KERN,CA1502247,MADERA CO SA NO 19-ROLLING HILLS,C,CSA,63,82,NA,NA,19-Mar,BAKMAN WATER-ROLLING HILLS,CA2010009,IOU,NA,,,Not in top 50
SAN DIEGO,CA3705026,ERRECA'S ASSOCIATES,NC,Private (other),7,25,8/26/19,NA,19-Aug,Lakeside WD,CA3710013,Irrigation District,512.5850887,1,,"PWSID was right, name wrong - changed"
TULARE,CA5402043,MONSON MARKET,NC,Private (other),2,30,3/26/21,NA,21-Mar,MONSON WATER SYSTEM,CA5403212,CSD,0,1,,Receiving system not in CES polygon set
FRESNO,CA1000496,COPPER RIVER COUNTRY CLUB,NTNC,Private (other),1,125,8/30/21,NA,21-Aug,CITY OF FRESNO,CA1010007,City,1155.321832,1,1,
SAN JOAQUIN,CA3901035,LODI USD-HENDERSON SCHOOL,NTNC,School,3,200,4/27/20,NA,20-Apr,"LODI, CITY OF",CA3910004,City,55.53842969,1,,
CONTRA COSTA,CA0707602,BEACON WEST,C,MHP,17,45,1/1/18,Dec.2017,18-Jan,Diablo Water District,CA0710007,County Water District,1575.085753,3,,
KERN,CA1502724,QUAIL VALLEY WATER DIST-EASTSIDE SYSTEM,C,Water District,28,75,9/1/18,Aug.2018,18-Sep,QVWD-West & East Combine Water System,CA1503226,Water District,1761.618932,4,,
MERCED,CA2400346,LIVINGSTON FARMERS ASSOCIATION WATER SYS,NTNC,Private (other),2,30,1/11/21,NA,21-Jan,City of livingston,CA2410004,City,1524.078599,1,,
SACRAMENTO,CA3400332,OXBOW MARINA (SWS),C,MWC,95,200,7/18/17,NA,17-Jul,Cal-Am Isleton,CA3410012,IOU,1315.290929,1,,
SAN JOAQUIN,CA3900726,BENTLEY TRAILER COURT,C,MHP,28,84,9/4/18,NA,18-Sep,California Water Service - Stockton,CA3910001,IOU,10.70729565,2,1,
SOLANO,CA4810037,SOLANO COUNTY CORDELIA STATE,NC,County (other),1,30,5/3/19,NA,19-May,City of Fairfield,CA4810003,City,416.1414302,1,,
SONOMA,CA4900786,RANCHO SANTA ROSA MHP,C,MHP,80,175,NA,16-Aug,16-Aug," SANTA ROSA, CITY OF",CA4910009,City,25.04393579,2,1,
SONOMA,CA4900676,SEQUOIA GARDENS MOBILE HOME PARK,C,MHP,192,300,NA,16-Aug,16-Aug,"SEBASTOPOL, CITY OF",CA4910011,City,5216.770365,27,,
STANISLAUS,CA5000051,MOBILE PLAZA PARK,C,MHP,50,125,5/29/19,NA,19-May,Keyes CSD,CA5010009,CSD,271.7829768,2,,
STANISLAUS,CA5000057,ORCHARD VILLAGE MHP,C,MHP,49,75,5/29/19,NA,19-May,Keyes CSD,CA5010009,CSD,2070.298104,8,,
