PWS ID,PWS Name,PWS Type,Population Served Count,# of Facilities,# of Violations,# of Site Visits,Primary Source,Primary Source Code,Address Line1,Address Line2,Counties Served
CA2800625,ADVENTIST HEALTH - ST. HELENA HOSPITAL,Community water system,860,28,5,7,Ground water,GW,10 Woodland Road,,Napa
CA1000424,PRATHER WATER DISTRICT,Non-Transient non-community system,449,5,23,10,Ground water,GW,"6760 N. West Avenue, Suite 104",,Fresno
CA2310009,BROOKTRAILS TOWNSHIP CSD,Community water system,"3,800",6,3,13,Surface water,SW,24860 Birch Street,,Mendocino
CA4910020,SONOMA COUNTY WATER AGENCY,Community water system,0,29,2,19,Ground water,GW,404 Aviation Boulevard,,Sonoma
CA5400509,PANORAMA HEIGHTS PROP OWNERS,Transient non-community system,144,4,13,8,Ground water,GW,P.O. BOX 302,,Tulare
CA4500338,ANSELMO VINEYARDS / SEVEN HILL LLC,Transient non-community system,33,4,7,4,Surface water,SW,1738 44th Ave.,,Shasta
CA4901361,ANABA WINERY,Transient non-community system,100,3,12,2,Ground water,GW,60 Bonneau Road,,Sonoma
CA4301011,NESTLDOWN RANCH,Transient non-community system,250,3,0,2,Ground water,GW,22420 Old Santa Cruz Highway,,Santa Clara
CA5400602,EAGLE'S NEST RESORT,Community water system,279,2,33,11,Ground water,GW,27798 HWY 190,,Tulare
CA1000540,"BHANDAL, INC",Transient non-community system,25,2,4,5,Ground water,GW,13025 S. Van Horn,,Fresno
CA3500913,EARTHBOUND FARM,Non-Transient non-community system,925,9,18,8,Ground water,GW,1721 San Juan Hwy,,San Benito
CA1500525,LAKEVIEW RANCHOS MUTUAL WATER COMPANY,Community water system,120,6,75,9,Ground water,GW,P.O. BOX 1062,,Kern
CA1502247,DESERT BREEZE MOBILE HOME ESTATES,Community water system,82,3,27,6,Ground water,GW,P.O.BOX 17482,,Kern
CA2800972,NINE SUNS WINERY,Transient non-community system,25,2,0,2,Ground water,GW,200 Long Ranch Road,,Napa
CA2801046,ST. SUPERY WINERY,Non-Transient non-community system,40,6,15,20,Ground water,GW,8440 St. Helena Highway,,Napa
CA2800010,OUTPOST WINES,Transient non-community system,25,3,1,3,Ground water,GW,2075 Summit Lake Drive,,Napa
CA4300578,ANGELO LANE WATER COMPANY,Community water system,52,2,13,6,Ground water,GW,6930 Laura Lane,,Santa Clara
CA1000405,PIEDRA PARK ASSOCIATION,Community water system,25,3,51,14,Ground water,GW,PO Box 135,,Fresno
CA1503336,GOLDEN EMPIRE CONCRETE COMPANY,Non-Transient non-community system,53,3,10,5,Ground water,GW,P. O. BOX 9129,,Kern
CA5500090,DARDANELLES RESORT,Transient non-community system,42,2,34,7,Ground water,GW,228 Alvarado Way,,Tuolumne
CA4900925,SEBASTIANI VINEYARDS,Non-Transient non-community system,157,4,4,3,Ground water,GW,389 Fourth Street East,,Sonoma
CA4700663,"WEED GOLF CLUB, INC.",Transient non-community system,110,2,28,6,Ground water,GW,P.O. Box 204,,Siskiyou
CA4200972,PEAKE RANCH,Transient non-community system,93,2,0,1,Ground water,GW,7290 SANTA ROSA ROAD,,Santa Barbara
CA4901143,SENECA FAMILY OF AGENCIES,Non-Transient non-community system,40,3,6,3,Ground water,GW,15942 FOOTHILL BLVD,,Sonoma
