Receiving_System_ID,Category
CA0610002,General purpose government
CA0710004,General purpose government
CA0910003,General purpose government
CA1010007,General purpose government
CA1010018,General purpose government
CA1210004,General purpose government
CA1510031,General purpose government
CA1610003,General purpose government
CA1910067,General purpose government
CA2410004,General purpose government
CA2410009,General purpose government
CA2600540,Public ancillary
CA2810003,General purpose government
CA2810004,General purpose government
CA3310020,General purpose government
CA3410020,General purpose government
CA3510001,General purpose government
CA3610034,General purpose government
CA3610044,General purpose government
CA3910004,General purpose government
CA3910015,General purpose government
CA4010009,General purpose government
CA4210011,General purpose government
CA4810003,General purpose government
CA4910006,General purpose government
CA4910009,General purpose government
CA4910011,General purpose government
CA4910012,General purpose government
CA4910017,General purpose government
CA5010017,General purpose government
CA5010028,General purpose government
CA5110002,General purpose government
CA5210001,General purpose government
CA5410010,General purpose government
CA5410015,General purpose government
CA5410020,General purpose government
CA5610011,General purpose government
CA5710005,General purpose government
CA5710006,General purpose government
CA1000039,General purpose government
CA1300018,General purpose government
CA4910010,General purpose government
CA0400091,IOU
CA0710002,IOU
CA0910007,IOU
CA1100404,IOU
CA1500371,IOU
CA1910039,IOU
CA1910139,IOU
CA1910241,IOU
CA2010007,IOU
CA2010009,IOU
CA2010012,IOU
CA2010013,IOU
CA2010014,IOU
CA2710010,IOU
CA3010035,IOU
CA3410010,IOU
CA3410012,IOU
CA3410023,IOU
CA3600010,IOU
CA3600270,IOU
CA3610118,IOU
CA3910001,IOU
CA4010040,IOU
CA4210700,IOU
CA4310011,IOU
CA4500022,IOU
CA4810701,IOU
CA4910023,IOU
CA4910024,IOU
CA4910025,IOU
CA5200574,IOU
CA5200657,IOU
CA5400553,IOU
CA5410016,IOU
CA5610010,IOU
CA5700712,IOU
CA2410008,IOU
CA1300513,Nonprofit private
CA1503536,Nonprofit private
CA1510015,Nonprofit private
CA4010006,Nonprofit private
CA4500016,Nonprofit private
CA0910019,Nonprofit private
CA5510004,Nonprofit private
90600148,Tribal
CA0900116,Private ancillary
CA2210900,Private ancillary
CA3600192,Private ancillary
CA2210503,Public ancillary
CA1000217,Public ancillary
CA2000947,Public ancillary
CA2410305,Public ancillary
CA2710705,Public ancillary
CA3610850,Public ancillary
CA0710007,Special district
CA1710001,Special district
CA1710006,Special district
CA1710012,Special district
CA3010042,Special district
CA3310001,Special district
CA3310008,Special district
CA3310019,Special district
CA3410001,Special district
CA3610064,Special district
CA4210004,Special district
CA4410014,Special district
CA1610009,Special district
CA3210004,Special district
CA4510008,Special district
CA4510013,Special district
CA5010009,Special district
CA5210003,Special district
CA5301002,Special district
CA5400550,Special district
CA5403212,Special district
CA0300037,Special district
CA0410003,Special district
CA0910001,Special district
CA2910004,Special district
CA2910014,Special district
CA3710013,Special district
CA1000221,Special district
CA1900767,Special district
CA3310009,Special district
CA3310012,Special district
CA0910002,Special district
CA1805007,Special district
CA2910003,Special district
CA3100029,Special district
CA3110013,Special district
CA3110043,Special district
CA3410008,Special district
CA0300073,Special district
CA3110025,Special district
CA3310005,Special district
CA3410029,Special district
CA3610060,Special district
CA4910020,Special district
CA1503226,Special district
CA3010101,Special district
CA5810006,Special district
